INDEX:11:<DateTimeISO>,IBM_Open:11:<double>,IBM_High:11:<double>,IBM_Low:11:<double>,IBM_Close:11:<double>,IBM_Adj_Close:11:<double>,IBM_Volume:11:<long>,Date_Col:11:<DateTimeAME>
2000-11-01,98.437500,99.875000,97.250000,98.562500,62.795776,7466200,11/02/2022
2000-11-02,99.000000,102.312500,98.500000,101.937500,64.946083,7445100,11/03/2022
2000-11-03,102.500000,102.625000,99.375000,100.125000,63.791306,5848500,11/11/2022 13:20:50
2000-11-06,99.875000,102.375000,99.437500,100.312500,63.910774,4448500,11/02/2023
2000-11-07,101.125000,103.500000,100.687500,102.312500,65.185028,5420600,11/02/2024 14:21:50.123
2000-11-08,103.625000,103.750000,99.250000,100.000000,63.792744,6990800,12/02/2022 13:20:50
2000-11-09,96.750000,100.000000,95.687500,99.437500,63.433865,9047900,12/02/2022
2000-11-10,98.000000,98.375000,93.000000,93.000000,59.327213,6807900,12/02/2022
2000-11-13,91.812500,99.437500,91.625000,97.437500,62.158020,8684900,09/22/2021 13:08:50.123
2000-11-14,99.250000,99.875000,98.500000,99.500000,63.473755,5150900,01/13/1982
2000-11-15,99.500000,100.062500,97.625000,99.375000,63.394009,4160300,10/05/1999
